Month,Grade,Total_Students,School_Days,Total_Possible_Days,Days_Present,Days_Absent_Excused,Days_Absent_Unexcused,Days_Tardy,Attendance_Rate,Chronic_Absence_Count,Chronic_Absence_Pct,Notes
Sep-2024,K,43,20,860,832,18,10,22,96.7%,1,2.3%,Strong start to year. One student with medical issue accounting for most absences.
Sep-2024,1,45,20,900,873,16,11,18,97.0%,0,0.0%,Excellent attendance for first month.
Sep-2024,2,47,20,940,908,20,12,15,96.6%,1,2.1%,One student family vacation during first week.
Sep-2024,3,49,20,980,946,22,12,20,96.5%,1,2.0%,
Sep-2024,4,51,20,1020,982,24,14,19,96.3%,1,2.0%,
Sep-2024,5,53,20,1060,1017,28,15,24,95.9%,2,3.8%,Two 5th graders with attendance concerns flagged for intervention.
Sep-2024,6,55,20,1100,1050,30,20,28,95.5%,2,3.6%,Middle school transition period. Higher tardy rate.
Sep-2024,7,55,20,1100,1044,32,24,35,94.9%,3,5.5%,Three students already approaching chronic absence threshold.
Sep-2024,8,51,20,1020,963,33,24,30,94.4%,3,5.9%,8th grade attendance lowest in school. Family liaison contacting homes.
Oct-2024,K,43,22,946,914,20,12,25,96.6%,1,2.3%,Slight illness uptick mid-month.
Oct-2024,1,45,22,990,959,18,13,20,96.9%,1,2.2%,
Oct-2024,2,47,22,1034,997,22,15,18,96.4%,1,2.1%,
Oct-2024,3,49,22,1078,1038,26,14,22,96.3%,1,2.0%,
Oct-2024,4,51,22,1122,1078,28,16,20,96.1%,2,3.9%,One new chronic absence student - family instability reported.
Oct-2024,5,53,22,1166,1114,32,20,26,95.5%,3,5.7%,
Oct-2024,6,55,22,1210,1150,34,26,32,95.0%,3,5.5%,
Oct-2024,7,55,22,1210,1140,38,32,38,94.2%,4,7.3%,Attendance team meeting held for 7th grade. Parent letters sent.
Oct-2024,8,51,22,1122,1052,38,32,34,93.8%,4,7.8%,Continued concern. Two students on attendance contracts.
Nov-2024,K,43,17,731,701,20,10,20,95.9%,1,2.3%,Thanksgiving week lower attendance. Cold/flu season starting.
Nov-2024,1,45,17,765,733,20,12,16,95.8%,1,2.2%,Stomach bug affected several classrooms.
Nov-2024,2,47,17,799,764,22,13,15,95.6%,2,4.3%,
Nov-2024,3,49,17,833,796,24,13,18,95.6%,2,4.1%,
Nov-2024,4,51,17,867,826,26,15,18,95.3%,2,3.9%,
Nov-2024,5,52,17,884,840,28,16,22,95.0%,3,5.8%,One student withdrew (moved). 52 students remaining.
Nov-2024,6,55,17,935,884,30,21,28,94.5%,4,7.3%,
Nov-2024,7,55,17,935,876,34,25,32,93.7%,5,9.1%,Approaching concerning levels. Counselor meeting with chronically absent students.
Nov-2024,8,51,17,867,808,34,25,30,93.2%,5,9.8%,Two students referred to county truancy intervention.
Dec-2024,K,43,15,645,618,18,9,18,95.8%,1,2.3%,Holiday season. Normal seasonal patterns.
Dec-2024,1,45,15,675,648,16,11,14,96.0%,1,2.2%,
Dec-2024,2,47,15,705,674,19,12,13,95.6%,2,4.3%,
Dec-2024,3,49,15,735,702,20,13,16,95.5%,2,4.1%,
Dec-2024,4,51,15,765,730,22,13,15,95.4%,2,3.9%,
Dec-2024,5,52,15,780,742,24,14,18,95.1%,3,5.8%,
Dec-2024,6,55,15,825,780,26,19,24,94.5%,4,7.3%,
Dec-2024,7,55,15,825,770,30,25,28,93.3%,6,10.9%,One additional chronically absent student. Attendance contracts updated.
Dec-2024,8,51,15,765,710,30,25,26,92.8%,6,11.8%,Most concerning grade level. Family engagement team activated.
Jan-2025,K,44,19,836,806,18,12,20,96.4%,1,2.3%,New student enrolled. Post-holiday return smooth.
Jan-2025,1,45,19,855,825,18,12,16,96.5%,1,2.2%,
Jan-2025,2,47,19,893,858,22,13,15,96.1%,2,4.3%,
Jan-2025,3,49,19,931,893,24,14,18,95.9%,2,4.1%,
Jan-2025,4,51,19,969,928,26,15,17,95.8%,2,3.9%,
Jan-2025,5,52,19,988,942,28,18,20,95.3%,3,5.8%,Flu hit 5th grade hard mid-January.
Jan-2025,6,56,19,1064,1006,32,26,26,94.5%,4,7.1%,New student enrolled in 6th grade.
Jan-2025,7,55,19,1045,975,38,32,34,93.3%,6,10.9%,Winter attendance slump continues for 7th grade.
Jan-2025,8,51,19,969,898,38,33,30,92.7%,7,13.7%,Critical level. Truancy intervention in place for 3 students. Home visits conducted for 2 families.
Feb-2025,K,44,19,836,810,16,10,18,96.9%,1,2.3%,Slight improvement.
Feb-2025,1,45,19,855,828,16,11,15,96.8%,1,2.2%,
Feb-2025,2,47,19,893,862,20,11,14,96.5%,2,4.3%,
Feb-2025,3,49,19,931,898,20,13,17,96.5%,2,4.1%,
Feb-2025,4,51,19,969,935,22,12,16,96.5%,2,3.9%,Attendance improvement initiative in Q3 showing results.
Feb-2025,5,52,19,988,950,24,14,18,96.2%,3,5.8%,
Feb-2025,6,56,19,1064,1012,30,22,24,95.1%,4,7.1%,Slight improvement over January.
Feb-2025,7,55,19,1045,984,34,27,30,94.2%,5,9.1%,One chronically absent student improved with mentoring intervention.
Feb-2025,8,51,19,969,906,34,29,28,93.5%,6,11.8%,Small improvement. Incentive program launched for 8th grade attendance.
