Respondent_ID,Role,Years_at_LIA,Department,Overall_Satisfaction,Leadership_Support,Professional_Development,Collaboration,Work_Life_Balance,Compensation_Fairness,School_Culture,Communication,Resource_Availability,Would_Recommend,Open_Ended_Feedback
S001,Classroom Teacher,4,3rd Grade,4,5,4,5,3,3,5,4,3,Yes,I love the collaborative culture here. The grade-level team meetings are incredibly valuable. I wish we had more planning time built into the schedule.
S002,Classroom Teacher,2,5th Grade,4,4,5,4,3,3,4,4,4,Yes,The PD opportunities have been fantastic this year. The coaching model really helps me grow. Compensation is my biggest concern.
S003,Classroom Teacher,6,Kindergarten,5,5,4,5,4,4,5,5,4,Yes,Lincoln Innovation Academy is the best school I've ever worked at. Dr. Rivera truly cares about teachers and students alike.
S004,Classroom Teacher,1,7th Grade Math,3,4,4,3,2,2,4,3,3,Yes,As a first-year teacher the support has been good but I feel overwhelmed by the number of initiatives. Would benefit from more focused priorities.
S005,Classroom Teacher,3,2nd Grade,4,4,4,5,3,3,4,4,3,Yes,Great team and school culture. The intervention block scheduling needs improvement - too many transitions for young students.
S006,Classroom Teacher,5,8th Grade ELA,4,5,5,4,3,3,5,4,4,Yes,The curriculum alignment work we did last summer has really paid off. I feel more confident in what I'm teaching and why.
S007,Special Education Teacher,3,K-4 SpEd,3,4,3,3,2,3,4,3,2,Maybe,Caseload is very high this year. I appreciate the admin support but we need another SpEd teacher or paraprofessional desperately.
S008,Special Education Teacher,2,5-8 SpEd,3,4,3,3,2,2,4,3,2,Maybe,Similar to my colleague - the caseload situation is unsustainable. Love the school but feeling burned out.
S009,Classroom Teacher,4,6th Grade Science,5,5,5,5,4,3,5,5,4,Yes,This is a special place. The science lab renovation has made a huge difference in what I can do with students.
S010,Classroom Teacher,1,1st Grade,4,5,4,4,3,3,4,4,4,Yes,The mentorship program for new teachers is excellent. My mentor has been incredibly generous with her time.
S011,Classroom Teacher,6,4th Grade,4,4,4,5,3,3,5,4,3,Yes,Been here since the beginning and the growth has been remarkable. Ready for the next chapter of strategic planning.
S012,Classroom Teacher,3,7th Grade ELA,4,4,5,4,3,3,4,4,4,Yes,The literacy initiative is well-designed. I appreciate that we got input into the curriculum adoption process.
S013,Classroom Teacher,2,8th Grade Math,3,4,4,3,2,2,4,3,3,Maybe,The math curriculum needs updating for the upper grades. Students arrive with very different preparation levels.
S014,Specials Teacher,5,Art K-8,4,4,3,3,4,3,5,4,2,Yes,I wish specials teachers were included more in PD planning. Our needs are different from core content teachers. Love the creative freedom though.
S015,Specials Teacher,4,PE/Health K-8,4,4,3,3,4,3,5,4,3,Yes,Great school community. The wellness initiative has been a nice addition. Facility needs for PE are adequate but could be better.
S016,Specials Teacher,2,Music K-8,4,5,3,3,3,3,5,4,2,Yes,Dr. Rivera has been very supportive of the arts program. Would love more budget for instruments and materials.
S017,Instructional Coach,3,K-4 Literacy,5,5,5,5,3,4,5,5,4,Yes,This role allows me to make a real impact. The coaching cycle structure gives me enough time with each teacher.
S018,Instructional Coach,2,5-8 STEM,4,5,5,4,3,3,5,4,4,Yes,Enjoying building the STEM coaching program. Need more time for data analysis to target coaching priorities.
S019,Counselor,4,K-4 Counseling,4,5,4,4,3,3,5,4,3,Yes,The SEL curriculum implementation has gone well. Student needs are increasing and we could use additional counseling support.
S020,Counselor,3,5-8 Counseling,4,5,4,4,3,3,5,4,3,Yes,Love working here. The restorative practices training has been transformative. Seeing real changes in how students handle conflict.
S021,Classroom Teacher,5,3rd Grade,4,4,4,5,3,3,4,4,3,Yes,Strong grade-level team. Would appreciate more autonomy in selecting supplementary materials.
S022,Classroom Teacher,1,6th Grade ELA,3,4,4,3,2,2,4,3,3,Maybe,Transition from 5th to 6th grade is tough for students. Need better systems to support that shift. Good school overall.
S023,Paraprofessional,4,K-2 Support,3,4,3,4,3,2,4,3,3,Yes,I feel valued by teachers but wish there were clearer career pathways for paras. Compensation is a concern.
S024,Paraprofessional,2,SpEd Support,3,4,3,3,3,2,4,3,2,Maybe,Enjoy working with students but the workload has increased significantly without corresponding support or pay increase.
S025,Paraprofessional,3,3-5 Support,3,4,3,4,3,2,4,3,3,Yes,Great school to work in. Teachers treat me as a real partner. Benefits package could be improved.
